0	0
1	^(0)
2	^(^(0))
3	^(^(^(0)))
4	^(^(^(^(0))))
5	^(^(^(^(^(0)))))
6	^(^(^(^(^(^(0))))))
7	^(^(^(^(^(^(^(0)))))))
8	^(^(^(^(^(^(^(^(0))))))))
9	R(^(^(^(#))),0,^(^(^(0))))
10	R(^(^(#)),0,^(^(^(^(^(0))))))
11	R(^(^(#)),^(0),^(^(^(^(^(0))))))
12	R(^(^(^(#))),0,^(^(^(^(0)))))
13	R(^(^(^(#))),^(0),^(^(^(^(0)))))
14	R(^(^(#)),0,^(^(^(^(^(^(^(0))))))))
15	R(^(^(^(#))),0,^(^(^(^(^(0))))))
16	R(^(^(^(^(#)))),0,^(^(^(^(0)))))
17	R(^(^(^(^(#)))),^(0),^(^(^(^(0)))))
18	R(^(^(^(#))),0,^(^(^(^(^(^(0)))))))
19	R(^(^(^(#))),^(0),^(^(^(^(^(^(0)))))))
20	R(^(^(^(^(#)))),0,^(^(^(^(^(0))))))
21	R(^(^(^(#))),0,^(^(^(^(^(^(^(0))))))))
22	R(R(^(^(#)),#,^(^(0))),^(0),^(^(^(0))))
23	R(R(^(^(#)),#,^(0)),^(^(0)),^(^(^(0))))
24	R(^(^(^(^(#)))),0,^(^(^(^(^(^(0)))))))
25	R(^(^(^(^(^(#))))),0,^(^(^(^(^(0))))))
26	R(R(^(^(^(#))),#,^(^(0))),0,^(^(^(0))))
27	R(R(^(^(^(#))),#,0),^(0),^(^(^(0))))
28	^(R(R(^(^(^(#))),#,0),^(0),^(^(^(0)))))
29	R(R(^(^(#)),#,^(^(^(0)))),^(0),^(^(^(0))))
30	R(R(^(^(#)),#,^(^(0))),0,^(^(^(^(0)))))
31	R(R(^(^(#)),#,^(0)),0,^(^(^(^(^(0))))))
32	R(R(^(^(#)),#,0),^(0),^(^(^(^(^(0))))))
33	^(R(R(^(^(#)),#,0),^(0),^(^(^(^(^(0)))))))
34	^(^(R(R(^(^(#)),#,0),^(0),^(^(^(^(^(0))))))))
35	R(^(^(^(^(^(#))))),0,^(^(^(^(^(^(^(0))))))))
36	R(R(^(^(^(#))),#,0),^(^(^(^(0)))),^(^(0)))
37	R(R(^(^(^(^(#)))),#,^(0)),^(^(0)),^(^(0)))
38	R(R(^(^(#)),#,^(^(0))),^(^(^(0))),^(^(^(0))))
39	R(R(^(^(^(#))),#,^(^(^(0)))),0,^(^(^(0))))
40	R(R(^(^(^(#))),#,^(0)),0,^(^(^(^(0)))))
41	^(R(R(^(^(^(#))),#,^(0)),0,^(^(^(^(0))))))
42	R(R(^(^(^(^(#)))),#,^(^(0))),0,^(^(^(0))))
43	R(R(^(^(^(^(^(^(#)))))),#,^(0)),0,^(^(^(0))))
44	R(R(^(^(#)),#,^(^(^(^(0))))),^(^(0)),^(^(^(0))))
45	R(R(^(^(#)),#,^(^(^(0)))),0,^(^(^(^(0)))))
46	R(R(^(^(#)),#,^(^(0))),^(0),^(^(^(^(0)))))
47	R(R(^(^(#)),#,^(0)),^(^(0)),^(^(^(^(0)))))
48	R(R(^(^(#)),#,0),^(^(^(0))),^(^(^(^(0)))))
49	R(R(^(^(^(^(^(^(^(#))))))),#,0),^(0),^(^(0)))
50	R(R(^(^(^(^(^(#))))),#,0),^(^(0)),^(^(0)))
51	^(R(R(^(^(^(^(^(#))))),#,0),^(^(0)),^(^(0))))
52	R(R(^(^(^(#))),#,^(^(^(^(0))))),0,^(^(^(0))))
53	R(R(^(^(^(#))),#,^(^(0))),^(0),^(^(^(0))))
54	R(R(^(^(^(#))),#,0),^(^(0)),^(^(^(0))))
55	^(R(R(^(^(^(#))),#,0),^(^(0)),^(^(^(0)))))
56	R(R(^(^(^(^(^(#))))),#,^(0)),^(^(0)),^(^(0)))
57	R(R(^(^(^(^(^(^(^(#))))))),#,^(0)),0,^(^(^(0))))
58	R(R(^(^(^(^(#)))),#,^(^(0))),^(^(^(0))),^(^(0)))
59	^(R(R(^(^(^(^(#)))),#,^(^(0))),^(^(^(0))),^(^(0))))
60	R(R(^(^(#)),#,^(^(^(^(0))))),0,^(^(^(^(0)))))
61	R(R(^(^(#)),#,^(^(^(0)))),^(0),^(^(^(^(0)))))
